amount,time_of_day,device_type,location_match,prev_fraud_flag,is_fraud
198805.0,6,2,0,0,0
263383.0,22,0,0,0,0
67840.0,3,1,1,0,0
161908.0,13,1,1,0,0
412514.0,10,0,1,0,0
221655.0,6,1,1,0,0
117720.0,20,3,1,0,0
248881.0,12,3,1,0,0
73538.0,0,1,1,0,0
358990.0,20,0,0,0,0
258268.0,12,2,1,0,0
217360.0,16,0,0,0,0
285320.0,19,3,1,0,0
214805.0,18,2,1,0,0
149690.0,13,1,0,0,0
17326.0,10,1,1,0,0
391576.0,9,0,1,0,0
70664.0,11,1,0,0,0
110518.0,0,3,0,0,1
22996.0,23,1,1,0,0
241497.0,21,2,1,0,0
264412.0,18,3,1,0,0
21422.0,10,1,1,0,0
302581.0,5,3,1,0,0
345122.0,22,3,1,0,0
17699.0,11,2,0,0,0
184706.0,12,3,0,0,0
299724.0,5,2,1,0,0
346850.0,15,2,1,0,0
341375.0,18,3,1,0,0
63950.0,5,0,0,0,0
203073.0,9,1,0,0,0
477943.0,15,1,1,0,0
81638.0,9,1,1,0,0
262308.0,3,2,1,0,0
168706.0,17,3,1,0,0
438207.0,12,3,1,0,0
155089.0,7,1,0,0,0
331431.0,4,2,1,0,0
159467.0,14,3,1,0,0
60035.0,9,1,0,0,0
371740.0,9,2,0,1,0
185653.0,16,3,1,0,0
493781.0,2,2,1,0,0
310391.0,12,0,1,0,0
58534.0,9,0,1,0,0
332841.0,17,2,0,0,0
428477.0,6,2,1,0,0
495812.0,15,2,1,0,0
171190.0,14,2,1,0,0
407308.0,17,1,1,0,0
135610.0,2,2,1,0,0
280617.0,4,0,1,0,0
453436.0,11,1,1,0,0
125730.0,10,1,1,0,0
114302.0,15,2,0,0,0
36037.0,6,0,1,0,0
299679.0,15,2,1,0,0
482706.0,18,1,1,0,0
243040.0,18,3,1,0,0
443981.0,0,3,1,0,0
458607.0,21,3,0,0,0
125015.0,8,1,0,1,0
394242.0,20,1,1,0,0
412453.0,11,3,0,0,0
8293.0,6,3,1,0,0
159421.0,23,3,1,0,0
8344.0,13,1,1,0,0
8470.0,22,1,0,0,0
277605.0,23,2,1,0,0
294888.0,19,3,1,0,0
287964.0,12,2,0,1,1
276451.0,4,1,0,0,0
190895.0,20,1,1,0,0
448593.0,9,2,1,0,0
416152.0,14,0,1,0,0
353297.0,5,2,1,0,0
50235.0,17,2,1,0,0
14090.0,13,1,1,0,0
94129.0,21,0,1,0,0
405655.0,0,2,1,0,0
267172.0,15,0,1,0,0
479921.0,8,0,1,1,0
135924.0,14,3,1,0,0
351230.0,19,0,1,0,0
80433.0,22,3,0,0,0
274329.0,17,0,1,0,0
339710.0,13,3,1,0,0
314322.0,9,3,1,0,0
33513.0,7,3,1,0,0
319014.0,8,0,1,0,0
31555.0,16,0,1,0,0
163653.0,4,0,1,0,0
386913.0,11,0,1,0,0
111120.0,8,1,1,0,0
150734.0,19,0,1,0,0
220992.0,13,3,1,0,0
228876.0,3,3,1,0,0
419995.0,10,3,1,0,0
286570.0,22,0,0,0,0
232087.0,15,2,1,0,0
277475.0,9,3,1,0,0
145235.0,18,0,1,0,0
320481.0,6,2,0,0,0
277342.0,10,3,1,0,0
278297.0,8,2,1,0,0
212050.0,22,3,1,0,0
325702.0,2,3,0,0,1
35269.0,21,2,1,0,0
425798.0,17,1,1,0,0
99488.0,11,1,1,0,0
492972.0,16,1,1,0,0
127955.0,16,2,1,0,0
432140.0,19,0,1,0,0
309115.0,18,2,1,0,0
344371.0,11,3,1,0,0
190880.0,13,3,1,0,0
439559.0,22,2,1,0,0
283229.0,7,0,1,0,0
119820.0,10,3,0,0,0
80452.0,9,2,1,0,0
222608.0,12,3,1,0,0
354061.0,10,2,1,0,0
427423.0,19,3,1,0,0
368193.0,18,0,1,0,0
376625.0,11,3,1,0,0
334660.0,16,1,1,1,0
390947.0,10,2,1,0,0
280761.0,8,2,0,0,0
164479.0,13,3,1,0,0
73494.0,1,1,1,0,0
289469.0,7,1,1,0,0
214066.0,4,2,1,0,0
417300.0,12,1,1,0,0
20143.0,3,0,1,0,0
438194.0,11,0,0,0,0
376095.0,21,2,1,0,0
10840.0,18,3,0,0,0
323409.0,9,2,1,0,0
222446.0,1,0,1,0,0
436590.0,13,0,1,0,0
174460.0,11,1,1,0,0
387256.0,14,2,1,0,0
81698.0,19,3,1,1,0
171027.0,10,0,1,1,0
195388.0,3,3,0,0,1
148685.0,2,0,1,0,0
49568.0,2,0,1,0,0
342563.0,15,0,0,0,0
159551.0,19,1,1,0,0
177849.0,15,3,1,0,0
396367.0,21,0,1,0,0
300629.0,22,1,1,0,0
163437.0,22,3,1,0,0
309319.0,4,0,1,0,0
164580.0,23,3,1,0,0
85424.0,4,3,1,0,0
335076.0,3,0,0,0,1
396666.0,20,1,1,0,0
299295.0,18,3,1,0,0
25920.0,13,0,0,0,0
474105.0,17,2,1,0,0
498084.0,1,2,1,0,0
225580.0,8,0,1,0,0
476281.0,21,0,1,0,0
362089.0,12,3,0,0,0
386343.0,14,2,0,0,0
159102.0,21,1,0,0,0
32706.0,5,3,1,0,0
483063.0,20,0,1,0,0
102253.0,19,0,0,0,0
195162.0,0,2,1,0,0
363251.0,10,1,1,0,0
443874.0,23,0,1,0,0
220900.0,20,3,1,0,0
318.0,16,2,1,0,0
356000.0,10,2,1,0,0
296611.0,5,3,1,0,0
182088.0,1,3,1,0,0
342997.0,4,3,1,0,0
334422.0,15,2,1,0,0
499840.0,13,1,1,0,0
215512.0,6,1,1,0,0
213542.0,14,2,0,0,0
244080.0,17,2,0,0,0
294533.0,5,2,1,0,0
197073.0,17,2,1,0,0
69219.0,10,2,1,0,0
204606.0,2,0,1,0,0
300390.0,9,3,1,0,0
190062.0,7,1,1,0,0
396888.0,5,1,0,0,0
93452.0,3,0,0,0,1
136506.0,1,1,1,0,0
391782.0,13,1,1,0,0
451281.0,22,0,1,0,0
161122.0,8,3,1,0,0
105340.0,8,1,0,0,0
91946.0,10,1,0,0,0
349439.0,18,2,0,0,0
346688.0,2,2,0,0,1
117234.0,1,2,0,0,0
110417.0,12,3,1,0,0
228700.0,9,1,1,0,0
492183.0,10,3,1,0,0
72058.0,5,2,1,0,0
244095.0,1,1,1,0,0
181691.0,0,2,0,0,1
132081.0,20,1,1,0,0
144851.0,1,3,1,0,0
212068.0,4,0,1,0,0
386450.0,5,2,0,0,0
179401.0,18,2,1,0,0
323813.0,1,2,1,1,1
223013.0,13,2,1,0,0
479470.0,4,3,1,0,0
263170.0,12,1,1,0,0
369691.0,4,2,1,0,0
178195.0,1,1,0,0,1
470710.0,9,2,1,0,0
179452.0,0,2,1,0,0
380692.0,14,1,1,0,0
498369.0,21,1,1,0,0
321406.0,2,0,1,0,0
171899.0,10,0,1,0,0
232896.0,12,3,0,0,0
138953.0,18,0,1,0,0
4703.0,5,2,1,0,0
269274.0,12,0,1,0,0
257579.0,10,3,1,0,0
139779.0,12,2,0,0,0
100972.0,7,1,0,0,0
290252.0,23,0,1,0,0
96300.0,4,1,1,0,0
129720.0,20,1,0,0,0
67326.0,0,1,1,0,0
69069.0,20,0,1,0,0
482922.0,19,0,1,0,0
330622.0,11,0,0,0,0
277885.0,22,3,1,0,0
221145.0,19,1,0,0,0
213675.0,1,0,1,0,0
269405.0,21,3,1,0,0
383185.0,20,3,1,0,0
163039.0,8,0,1,0,0
258610.0,9,1,1,0,0
472308.0,15,2,0,0,0
117504.0,18,0,1,0,0
469482.0,14,1,1,0,0
401107.0,16,1,1,0,0
344132.0,18,3,1,0,0
96711.0,8,3,0,0,0
252536.0,23,0,1,0,0
477927.0,21,0,1,0,0
158688.0,3,2,1,0,0
69504.0,17,2,1,0,0
218968.0,22,0,1,0,0
492869.0,2,3,0,0,0
242098.0,10,1,1,0,0
211126.0,14,3,1,1,0
161549.0,14,0,1,0,0
142686.0,10,2,1,0,0
361141.0,4,1,1,1,0
121082.0,12,0,0,0,0
341083.0,7,1,0,0,0
207127.0,11,3,0,0,0
174253.0,23,2,1,0,0
216479.0,18,2,1,0,0
385306.0,12,3,0,0,0
358401.0,12,2,1,0,0
60954.0,18,2,1,0,0
472052.0,18,0,1,0,0
62806.0,19,3,0,0,0
389258.0,10,0,1,0,0
312554.0,21,2,1,0,0
370802.0,0,0,1,0,0
255196.0,0,1,1,0,0
119690.0,1,3,0,0,1
377313.0,15,3,1,0,0
127267.0,6,2,0,0,0
165890.0,15,0,1,0,0
63320.0,20,0,1,0,0
483416.0,10,2,1,0,0
287551.0,1,3,1,0,0
131846.0,13,3,1,0,0
107699.0,2,2,1,0,0
99739.0,0,3,1,0,0
116021.0,10,1,1,0,0
143266.0,5,0,1,0,0
442442.0,19,0,1,0,0
74147.0,13,1,1,0,0
422110.0,5,1,1,0,0
52102.0,5,3,1,0,0
139449.0,10,3,1,0,0
59007.0,4,0,1,0,0
339845.0,1,2,1,0,0
5663.0,19,3,1,0,0
461660.0,0,0,1,0,0
364084.0,1,3,1,0,0
8065.0,0,2,1,0,0
421636.0,17,1,1,0,0
419272.0,8,2,1,0,0
200673.0,0,2,0,0,1
76722.0,7,2,1,0,0
397619.0,6,1,1,0,0
199678.0,16,3,0,1,0
467054.0,2,3,0,0,1
204399.0,7,2,1,0,0
246630.0,8,1,1,0,0
452580.0,5,1,1,0,0
455894.0,16,3,0,0,0
141712.0,1,1,1,0,0
430522.0,17,2,1,0,0
409414.0,8,2,1,0,0
476970.0,6,3,1,0,0
395746.0,3,3,1,0,0
73939.0,8,3,1,0,0
106607.0,9,2,1,0,0
212136.0,17,3,0,0,0
299163.0,17,1,1,0,0
346687.0,10,2,1,0,0
320430.0,21,2,1,0,0
343274.0,7,2,1,0,0
225275.0,11,2,1,0,0
6160.0,1,3,0,0,0
383610.0,23,3,0,0,0
171453.0,23,3,1,0,0
411389.0,15,3,1,0,0
6445.0,0,1,1,0,0
398127.0,9,2,1,0,0
174380.0,10,1,1,0,0
19070.0,11,1,1,0,0
57207.0,20,0,1,1,0
391210.0,17,3,1,0,0
499563.0,20,3,1,0,0
11955.0,7,0,1,0,0
190230.0,21,3,0,0,0
391196.0,14,0,1,0,0
376814.0,5,2,1,0,0
220379.0,0,3,1,0,0
275295.0,5,0,0,0,0
23719.0,12,2,0,1,0
164040.0,12,1,1,0,0
152692.0,9,3,1,0,0
444297.0,6,3,1,0,0
315842.0,6,1,0,0,0
281450.0,14,1,1,0,0
168742.0,20,3,1,0,0
133605.0,7,3,1,0,0
52294.0,23,0,1,0,0
65919.0,3,2,1,0,0
458468.0,16,2,0,0,0
276482.0,18,0,1,0,0
191895.0,4,1,0,0,0
72815.0,19,2,1,0,0
270576.0,6,1,0,0,0
175958.0,4,0,1,0,0
346067.0,7,3,1,0,0
292201.0,16,0,1,0,0
64841.0,7,3,1,0,0
2437.0,6,0,1,0,0
121415.0,22,1,1,0,0
403657.0,0,2,0,0,1
341191.0,6,2,1,0,0
141640.0,13,1,0,0,0
315541.0,11,2,1,0,0
403528.0,1,0,1,0,0
291829.0,0,0,1,0,0
81111.0,16,0,1,0,0
471353.0,22,2,1,0,0
13994.0,10,1,1,0,0
394013.0,12,0,1,0,0
302262.0,8,3,0,0,0
344217.0,12,1,1,0,0
363320.0,21,2,1,0,0
372731.0,19,1,0,0,0
48328.0,10,0,1,0,0
435740.0,23,0,1,0,0
340120.0,16,0,1,0,0
13103.0,15,3,1,0,0
185298.0,1,0,1,0,0
1926.0,1,0,1,0,0
455934.0,5,0,0,0,0
317025.0,3,1,1,0,0
351167.0,20,3,1,0,0
263030.0,0,3,1,0,0
463516.0,13,2,1,0,0
419136.0,4,1,1,0,0
292573.0,19,1,1,0,0
159226.0,19,3,1,0,0
342462.0,8,2,1,0,0
166652.0,0,0,1,0,0
171289.0,0,3,1,0,0
148443.0,22,0,0,0,0
319123.0,0,2,1,0,0
85115.0,21,2,1,0,0
35928.0,4,0,0,0,0
329383.0,10,0,1,0,0
287539.0,20,0,1,1,0
302622.0,14,2,1,0,0
328770.0,10,0,1,0,0
58960.0,1,1,0,0,0
178100.0,16,1,1,0,0
407704.0,13,0,1,0,0
298458.0,21,0,1,0,0
183960.0,6,0,1,0,0
338440.0,6,1,1,0,0
37186.0,18,0,1,0,0
272053.0,3,0,1,1,1
428823.0,16,2,0,0,0
373908.0,3,1,1,0,0
185233.0,2,0,0,0,0
218042.0,23,2,1,0,0
430478.0,2,2,0,0,0
491633.0,20,2,1,0,0
497523.0,15,1,1,0,0
